UNNAMED: 0,data da venda,SETOR,PRODUTO,VENDEDOR,região,ESTADO,cliente,FATURAMENTO,margem de lucro,LUCRO,coluna_inutil_0,coluna_inutil_1
,2035-01-01 00:00:00,Carnes,kuína,Amaral,Sudeste,Minas Gerais,Atacado,"633,45","0,13","82,3485",PvlTk,SvWK1
,2035-01-01 00:00:00,Latícinio,Queijo,Leo,Sudeste,Minas Gerais,Atacarejo,"611,4","0,07","42,798",4ZBrt,gwduN
,2035-01-01 00:00:00,Congelados,Sorvete,Leo,Nordeste,,Atacarejo,"721,52","0,08",,Mc6m1,NFY0g
nan,2035-01-01 00:00:00,Carnes,Bovina,Daniele,Sudeste,São Paulo,Atacado,"679,39",0.09,"61,1451",ROb74,QDXmd
,2035-01-01 00:00:00,Carnes,Frango,Vanessa,Sul,Rio Grande do Sul,tarejo,964.52,"0,19","183,2588",n8NR2,Ml1t1
,2035-01-01 00:00:00,Latícinio,Coalhada,Leo,Nordeste,Rio Grande do Norte,Attcarejo,"565,7","0,08","45,256",9ZNcS,skEvZ
,2035-01-01 00:00:00,Cvrnes,Frango,Vanessa,Nordeste,Rio Grande do Norte,Atacarejo,"721,01",0.05,"36,0505",IDzv5,IXSeY
,2035-01-01 00:00:00,Carnes,Bovina,Vanessa,Sul,Rio Grande do Sul,Atacado,"649,4",0.11,"71,434",gineL,YohO9
nan,2035-01-02 00:00:00,Latícinio,Coalhada,,Sudeste,Minas Gerais,Atacarejo,"789,01","0,19",149.9119,Xbzks,LDKbJ
,,Latícinio,Queijo,Daniele,Nordeste,Bahia,Atacado,"574,3","0,05","28,715",wa9bD,prMxB
nan,2035-01-02 00:00:00,Carnes,Frango,Daniele,Sudeste,,Varejo,"785,54","0,17","133,5418",DNNAw,P31PO
,2035-01-03 00:00:00,Carnes,Frango,Amaral,Sudeste,São Paulo,Atacarejo,"662,43","0,17","112,6131",ZS0YU,SVanK
,2035-01-03 00:00:00,Bebidas,Cervejas,Daniele,Sul,Paraná,Atacado,"658,19",0.18,"118,4742",C88ke,wYUlU
,2035-01-03 00:00:00,Bebidas,Sucos,Evandro,bordeste,Bahia,Atacado,"722,3","0,09","65,007",7aKoF,h0DrF
,2035-01-03 00:00:00,Bebidas,Cervejas,Vanessa,Nordeste,Rio Grande do Norte,Varejo,"798,75",0.05,"39,9375",IIOVP,EYR1W
,2035-01-03 00:00:00,Latícinio,,Vanessa,Sudeste,Minas Gcrais,Atacado,543.62,"0,08",,MPk2e,TTDtB
