DATA DA VENDA,SETOR,PRODUTO,VENDEDOR,REGIÃO,ESTADO,CLIENTE,FATURAMENTO,MARGEM DE LUCRO,LUCRO_CALCULADO
2035-01-01 00:00:00,Carnes,Bovina,Amaral,Sudeste,Rio de Janeiro,Atacado,633.45,0.13,82.35
2035-01-01 00:00:00,Laticínio,Sorvete,Leo,Sudeste,São Paulo,Atacarejo,611.4,0.07,42.8
2035-01-01 00:00:00,Congelados,Pizza,Leo,Nordeste,Rio Grande do Norte,Atacarejo,721.52,0.08,57.72
2035-01-01 00:00:00,Carnes,Bovina,Daniele,Sudeste,São Paulo,Atacado,679.39,0.09,61.15
2035-01-01 00:00:00,Carnes,Bovina,Vanessa,Sul,Paraná,Varejo,964.52,0.19,183.26
2035-01-01 00:00:00,Laticínio,Sorvete,Leo,Nordeste,Bahia,Atacarejo,565.7,0.08,45.26
2035-01-01 00:00:00,Carnes,Bovina,Vanessa,Nordeste,Sergipe,Atacarejo,721.01,0.05,36.05
2035-01-01 00:00:00,Carnes,Suína,Vanessa,Sul,Santa Catarina,Atacado,649.4,0.11,71.43
2035-01-02 00:00:00,Laticínio,Queijo,Vanessa,Sudeste,São Paulo,Atacarejo,789.01,0.19,149.91
2035-01-31 00:00:00,Laticínio,Sorvete,Daniele,Nordeste,Rio Grande do Norte,Atacado,574.3,0.05,28.72
2035-01-02 00:00:00,Carnes,Suína,Daniele,Sudeste,Minas Gerais,Varejo,785.54,0.17,133.54
2035-01-03 00:00:00,Carnes,Suína,Amaral,Sudeste,Rio de Janeiro,Atacarejo,662.43,0.17,112.61
2035-01-03 00:00:00,Bebidas,Refrigerantes,Daniele,Sul,Rio Grande do Sul,Atacado,658.19,0.18,118.47
2035-01-03 00:00:00,Bebidas,Cervejas,Evandro,Nordeste,Bahia,Atacado,722.3,0.09,65.01
2035-01-03 00:00:00,Bebidas,Cervejas,Vanessa,Nordeste,Bahia,Varejo,798.75,0.05,39.94
2035-01-03 00:00:00,Laticínio,Coalhada,Vanessa,Sudeste,São Paulo,Atacado,543.62,0.08,43.49
2035-01-04 00:00:00,Laticínio,Sorvete,Vanessa,Nordeste,Bahia,Atacarejo,785.33,0.12,94.24
2035-01-05 00:00:00,Bebidas,Sucos,Vanessa,Sudeste,Minas Gerais,Atacarejo,856.98,0.09,77.13
2035-01-05 00:00:00,Laticínio,Coalhada,Vanessa,Nordeste,Sergipe,Atacado,548.55,0.15,82.28
2035-01-06 00:00:00,Congelados,Pizza,Evandro,Nordeste,Rio Grande do Norte,Atacarejo,905.39,0.19,172.02
2035-01-06 00:00:00,Congelados,Pizza,Vanessa,Nordeste,Sergipe,Atacarejo,629.28,0.18,113.27
2035-01-31 00:00:00,Carnes,Suína,Daniele,Sudeste,Rio de Janeiro,Varejo,755.61,0.13,98.23
2035-01-07 00:00:00,Laticínio,Sorvete,Vanessa,Sudeste,Minas Gerais,Atacarejo,890.26,0.16,142.44
2035-01-07 00:00:00,Congelados,Lasanha,Jonas,Nordeste,Bahia,Atacarejo,570.53,0.1,57.05
2035-01-07 00:00:00,Carnes,Frango,Amaral,Sudeste,Rio de Janeiro,Atacarejo,638.61,0.08,51.09
2035-01-31 00:00:00,Laticínio,Queijo,Leo,Sul,Paraná,Atacarejo,741.85,0.12,89.02
2035-01-31 00:00:00,Carnes,Bovina,Jonas,Sudeste,Minas Gerais,Varejo,791.64,0.08,63.33
2035-01-31 00:00:00,Bebidas,Sucos,Jonas,Sul,Paraná,Atacarejo,552.08,0.08,44.17
2035-01-09 00:00:00,Carnes,Suína,Leo,Sul,Rio Grande do Sul,Atacarejo,628.53,0.15,94.28
2035-01-10 00:00:00,Bebidas,Refrigerantes,Vanessa,Nordeste,Rio Grande do Norte,Atacado,920.35,0.12,106.51
2035-01-10 00:00:00,Carnes,Suína,Jonas,Sudeste,Minas Gerais,Varejo,835.24,0.19,158.7
2035-01-10 00:00:00,Carnes,Bovina,Vanessa,Nordeste,Bahia,Atacado,861.01,0.06,51.66
2035-01-10 00:00:00,Bebidas,Refrigerantes,Leo,Sul,Paraná,Atacarejo,533.87,0.05,26.69
2035-01-11 00:00:00,Congelados,Pizza,Vanessa,Nordeste,Bahia,Atacarejo,778.04,0.09,70.02
2035-01-11 00:00:00,Laticínio,Leite,Leo,Nordeste,Sergipe,Varejo,694.17,0.05,34.71
2035-01-11 00:00:00,Congelados,Lasanha,Amaral,Sudeste,São Paulo,Atacarejo,685.12,0.06,41.11
2035-01-11 00:00:00,Carnes,Suína,Daniele,Sudeste,Rio de Janeiro,Atacado,899.06,0.11,98.9
2035-01-11 00:00:00,Carnes,Bovina,Evandro,Sul,Rio Grande do Sul,Varejo,631.75,0.05,31.59
2035-01-11 00:00:00,Congelados,Lasanha,Amaral,Sudeste,Rio de Janeiro,Varejo,896.63,0.12,106.51
2035-01-12 00:00:00,Bebidas,Refrigerantes,Daniele,Sul,Rio Grande do Sul,Atacarejo,747.57,0.1,74.76
2035-01-12 00:00:00,Laticínio,Coalhada,Amaral,Nordeste,Sergipe,Atacarejo,598.97,0.07,41.93
2035-01-12 00:00:00,Carnes,Suína,Evandro,Nordeste,Rio Grande do Norte,Atacarejo,878.75,0.07,61.51
2035-01-13 00:00:00,Congelados,Lasanha,Vanessa,Sudeste,São Paulo,Atacarejo,741.03,0.15,111.15
2035-01-13 00:00:00,Bebidas,Cervejas,Vanessa,Sudeste,Minas Gerais,Varejo,693.92,0.15,104.09
2035-01-13 00:00:00,Laticínio,Sorvete,Vanessa,Sudeste,Minas Gerais,Atacarejo,806.29,0.16,129.01
2035-01-13 00:00:00,Bebidas,Refrigerantes,Jonas,Sul,Santa Catarina,Atacarejo,690.58,0.08,55.25
2035-01-13 00:00:00,Carnes,Frango,Daniele,Nordeste,Bahia,Atacado,672.37,0.17,114.3
2035-01-13 00:00:00,Carnes,Suína,Daniele,Nordeste,Sergipe,Atacarejo,925.2,0.08,74.02
